day,hour,operation
8,10:48,перешел в status TEST_STOPPING
8,10:48,перешел в status CANCELED
8,10:48,перешел в status TEST_STOPPING
8,10:48,перешел в status CANCELED
8,10:48,перешел в status TEST_STOPPING
8,10:48,перешел в status CANCELED
8,10:50,запустил test
8,10:50,запустил test
8,10:50,запустил test
8,10:50,стартовал grafana
8,10:50,стартовал grafana
8,10:50,запустил test
8,10:52,стартовал grafana
8,10:53,стартовал grafana
8,10:54,перешел в status TEST_STOPPING
8,10:54,перешел в status CANCELED
8,10:54,запустил test
8,10:56,стартовал grafana
8,10:58,перешел в status TEST_STOPPING
8,10:58,перешел в status CANCELED
8,10:58,перешел в status TEST_STOPPING
8,10:58,перешел в status CANCELED
8,10:58,перешел в status TEST_STOPPING
8,10:58,перешел в status CANCELED
8,10:58,перешел в status TEST_STOPPING
8,10:58,перешел в status CANCELED
8,11:07,запустил test
8,11:07,запустил test
8,11:07,запустил test
8,11:07,запустил test
8,11:07,запустил test
8,11:09,стартовал grafana
8,11:09,стартовал grafana
8,11:09,стартовал grafana
8,11:09,стартовал grafana
8,11:12,стартовал grafana
8,11:14,перешел в status TEST_STOPPING
8,11:14,перешел в status CANCELED
8,11:14,перешел в status TEST_STOPPING
8,11:14,перешел в status CANCELED
8,11:14,перешел в status TEST_STOPPING
8,11:14,перешел в status CANCELED
8,11:14,перешел в status TEST_STOPPING
8,11:14,перешел в status CANCELED
8,11:14,перешел в status TEST_STOPPING
8,11:14,перешел в status CANCELED
8,11:15,запустил test
8,11:15,запустил test
8,11:15,запустил test
8,11:15,запустил test
8,11:15,запустил test
8,11:15,стартовал grafana
8,11:15,стартовал grafana
8,11:17,стартовал grafana
8,11:18,стартовал grafana
8,11:18,стартовал grafana
8,11:22,перешел в status TEST_STOPPING
8,11:22,перешел в status CANCELED
8,11:23,перешел в status TEST_STOPPING
8,11:23,перешел в status CANCELED
8,11:23,перешел в status TEST_STOPPING
8,11:23,перешел в status CANCELED
8,11:23,перешел в status TEST_STOPPING
8,11:23,перешел в status CANCELED
8,11:23,перешел в status TEST_STOPPING
8,11:23,перешел в status CANCELED
8,11:41,запустил test
8,11:41,запустил test
8,11:41,запустил test
8,11:41,запустил test
8,11:41,запустил test
8,11:43,стартовал grafana
8,11:43,стартовал grafana
8,11:44,стартовал grafana
8,11:44,стартовал grafana
8,11:44,стартовал grafana
8,11:58,перешел в status TEST_STOPPING
8,11:58,перешел в status CANCELED
8,11:58,перешел в status TEST_STOPPING
8,11:58,перешел в status CANCELED
8,11:58,перешел в status TEST_STOPPING
8,11:58,перешел в status CANCELED
8,11:58,перешел в status TEST_STOPPING
8,11:58,перешел в status CANCELED
8,11:58,перешел в status CANCELED
8,11:58,перешел в status TEST_STOPPING
9,12:10,запустил test
9,12:10,запустил test
9,12:10,запустил test
9,12:10,запустил test
9,12:10,стартовал grafana
9,12:10,стартовал grafana
9,12:10,запустил test
9,12:12,стартовал grafana
9,12:12,стартовал grafana
9,12:12,стартовал grafana
9,12:16,перешел в status TEST_STOPPING
9,12:16,перешел в status CANCELED
9,12:16,перешел в status TEST_STOPPING
9,12:16,перешел в status CANCELED
9,12:16,перешел в status TEST_STOPPING
9,12:16,перешел в status CANCELED
9,12:16,перешел в status TEST_STOPPING
9,12:16,перешел в status CANCELED
9,12:16,перешел в status TEST_STOPPING
9,12:16,перешел в status CANCELED
9,12:39,запустил test
9,12:39,запустил test
9,12:39,запустил test
9,12:39,запустил test
9,12:39,запустил test
9,12:42,стартовал grafana
9,12:42,стартовал grafana
9,12:42,стартовал grafana
9,12:42,стартовал grafana
9,12:42,стартовал grafana
9,12:46,перешел в status TEST_STOPPING
9,12:46,перешел в status CANCELED
9,12:46,перешел в status TEST_STOPPING
9,12:46,перешел в status CANCELED
9,12:46,перешел в status TEST_STOPPING
9,12:46,перешел в status CANCELED
9,12:46,перешел в status TEST_STOPPING
9,12:46,перешел в status CANCELED
9,12:46,перешел в status TEST_STOPPING
9,12:46,перешел в status CANCELED
9,12:50,запустил test
9,12:50,запустил test
9,12:50,запустил test
9,12:50,запустил test
9,12:50,запустил test
9,12:50,стартовал grafana
9,12:50,стартовал grafana
9,12:50,стартовал grafana
9,12:50,стартовал grafana
9,12:50,стартовал grafana
9,12:51,перешел в status FAILED
9,12:51,перешел в status FAILED
9,12:51,перешел в status FAILED
9,12:51,перешел в status FAILED
9,12:51,перешел в status FAILED
9,01:00,запустил test
9,01:00,запустил test
9,01:00,запустил test
9,01:00,запустил test
9,01:00,запустил test
9,01:00,стартовал grafana
9,01:00,стартовал grafana
9,01:01,стартовал grafana
9,01:02,стартовал grafana
9,01:02,стартовал grafana
9,01:05,перешел в status TEST_STOPPING
9,01:05,перешел в status CANCELED
9,01:05,перешел в status TEST_STOPPING
9,01:05,перешел в status CANCELED
9,01:05,перешел в status TEST_STOPPING
9,01:05,перешел в status CANCELED
9,01:05,перешел в status TEST_STOPPING
9,01:05,перешел в status CANCELED
9,01:05,перешел в status TEST_STOPPING
9,01:05,перешел в status CANCELED
9,01:07,запустил test
9,01:07,запустил test
9,01:07,запустил test
9,01:07,запустил test
9,01:07,запустил test
9,01:07,стартовал grafana
9,01:07,стартовал grafana
9,01:07,стартовал grafana
9,01:09,стартовал grafana
9,01:09,стартовал grafana
9,01:17,перешел в status TEST_STOPPING
9,01:17,перешел в status CANCELED
9,01:17,перешел в status TEST_STOPPING
9,01:17,перешел в status CANCELED
9,01:17,перешел в status TEST_STOPPING
9,01:17,перешел в status CANCELED
9,01:17,перешел в status TEST_STOPPING
9,01:17,перешел в status CANCELED
9,01:17,перешел в status TEST_STOPPING
